iter	Passed	Remaining
0	2416	12082504
1	4712	11775808
2	7464	12433105
3	10675	13334163
4	13003	12990373
5	15397	12816159
6	18088	12901928
7	20908	13046778
8	23786	13190922
9	26511	13229399
10	29277	13278795
11	31781	13210411
12	34208	13122731
13	36137	12870026
14	38286	12723951
15	40178	12515741
16	42749	12530767
17	45388	12562560
18	47352	12413932
19	49752	12388421
20	51734	12266007
21	54174	12258120
22	56551	12237260
23	58516	12132328
24	60904	12119997
25	63147	12080533
26	65139	11997659
27	67135	11921284
28	69525	11917582
29	71851	11903323
30	74594	11956773
31	77339	12006931
32	79633	11986043
33	82080	11988633
34	84819	12032211
35	87577	12075913
36	90040	12077643
37	92534	12083068
38	94772	12055601
39	97224	12055810
40	99175	11995431
41	101434	11974072
42	103814	11967649
43	106542	12000519
44	108879	11988878
45	111654	12024709
46	113743	11986588
47	116631	12032514
48	119501	12074488
49	122533	12130811
50	125648	12192816
51	128905	12265861
52	132210	12340510
53	134725	12339880
54	137423	12355659
55	140566	12409972
56	143842	12473898
57	146579	12489605
58	149435	12514554
59	152289	12538469
60	155191	12565391
61	158062	12588946
62	161288	12639391
63	164343	12675012
64	167014	12680243
65	169207	12649505
66	171939	12659344
67	174073	12625430
68	177240	12666280
69	180119	12685553
70	182866	12695035
71	185876	12722188
72	189040	12758944
73	192300	12800983
74	195178	12816712
75	198129	12836705
76	201307	12870588
77	204523	12905960
78	207260	12910511
79	210173	12925678
80	212958	12932654
81	215826	12944334
82	218812	12962652
83	221923	12987801
84	225143	13018586
85	227977	13026542
86	230611	13022936
87	233533	13035432
88	236292	13038547
89	238993	13038447
90	241940	13051492
91	244903	13065053
92	247385	13052885
93	250303	13063717
94	252735	13049125
95	255615	13057710
96	258121	13047088
97	260830	13046839
98	263417	13040507
99	266367	13052015
100	268896	13042833
101	271710	13047449
102	274414	13046678
103	277389	13058644
104	280370	13070597
105	283459	13087277
106	287304	13138152
107	290771	13170887
108	294182	13200429
109	298224	13257416
110	301740	13290190
111	304926	13307881
112	307877	13315041
113	310570	13310937
114	314345	13352844
115	317715	13376935
116	321441	13415383
117	324608	13430009
118	327306	13425064
119	330603	13444559
120	334144	13473477
121	338050	13516493
122	341183	13528069
123	344398	13542623
124	347812	13564676
125	350897	13573620
126	353975	13582067
127	356692	13576624
128	359161	13561827
129	361765	13552290
130	364971	13565223
131	368493	13589610
132	372159	13618815
133	374974	13616609
